episode,avg_waiting_time,avg_speed,total_stopped,total_waiting_time,total_reward
0,1.161269545698627,8.691337425591513,6.454166666666667,47.09861111111111,-0.13
1,1.3282107461744734,8.643513440614248,6.5,53.06944444444444,-0.2700000000000002
2,0.7734183245750872,9.18238075221707,4.998611111111111,29.238888888888887,-0.12999999999999978
3,1.898938149936023,7.361807810778646,10.783333333333333,90.325,-0.54
4,1.5116044600995195,8.250539740299955,7.866666666666666,64.58611111111111,-0.28
