step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.87118672030023,0,0.0,0.954720104396452,0,0.0
10.0,0,0.0,0.0,11.620308817991186,0,0.0,0.8275675036796137,0,0.0
15.0,1,3.0,0.3,11.234184236704792,1,3.0,0.7830922495653387,1,3.0
20.0,1,1.0,0.07692307692307693,9.381275108915135,1,1.0,0.7255888985549902,1,1.0
25.0,2,9.0,0.5294117647058824,10.664124497328258,2,9.0,0.7428342291575825,2,9.0
30.0,1,2.0,0.1,10.257079554459658,1,9.0,0.6756062407174118,1,9.0
35.0,2,6.0,0.2727272727272727,9.6060616778888,2,6.0,0.6085110993287288,2,6.0
40.0,4,25.0,0.9615384615384616,10.209674989934314,4,25.0,0.5990682627404332,4,25.0
45.0,7,52.0,1.9259259259259258,8.646207095216333,7,52.0,0.40803410567265347,7,52.0
50.0,5,30.0,1.1111111111111112,8.033069631133642,5,51.0,0.43749889723172686,5,51.0
55.0,3,8.0,0.2857142857142857,9.429591218515673,2,37.0,0.617787199419112,2,37.0
60.0,0,0.0,0.0,9.907840411094291,0,34.0,0.6242548669474572,0,34.0
65.0,4,15.0,0.4838709677419355,10.506313214389257,4,49.0,0.6274368504866779,4,49.0
70.0,5,38.0,1.1515151515151516,9.639811963912035,5,72.0,0.4525341633575197,5,72.0
75.0,3,21.0,0.6363636363636364,8.83622060400256,3,57.0,0.4245500202472997,3,57.0
80.0,3,8.0,0.24242424242424243,9.79507022469697,3,19.0,0.46190635553396325,3,19.0
85.0,1,1.0,0.03225806451612903,10.342432326770236,1,14.0,0.6075668868945673,1,14.0
90.0,5,23.0,0.7931034482758621,10.416636895691873,4,30.0,0.6269490340633337,4,30.0
95.0,3,12.0,0.375,10.650428363273768,3,26.0,0.6633046348044487,3,26.0
100.0,2,7.0,0.21212121212121213,10.672389717710194,1,32.0,0.6346251117828938,1,32.0
105.0,1,1.0,0.03333333333333333,8.672537532031665,1,38.0,0.43124791872763696,1,38.0
110.0,7,30.0,1.0,9.74283914194997,7,67.0,0.5384369354952349,7,67.0
115.0,3,17.0,0.5483870967741935,9.288281429572326,3,45.0,0.558158248811946,3,45.0
120.0,5,17.0,0.53125,9.56517648267765,3,37.0,0.574979136195166,3,37.0
125.0,3,4.0,0.12903225806451613,8.655177442683028,3,47.0,0.4999668521034543,3,47.0
130.0,7,29.0,0.9666666666666667,8.499357297021854,7,65.0,0.44991977870240313,7,65.0
135.0,10,76.0,2.303030303030303,9.127311715511942,10,112.0,0.4864047674989451,10,112.0
140.0,5,32.0,0.9142857142857143,7.896666369531764,5,85.0,0.38529371762310954,5,85.0
145.0,7,25.0,0.7352941176470589,7.917119566591568,6,87.0,0.43719700336659456,6,87.0
150.0,7,46.0,1.3529411764705883,8.502647338681843,7,78.0,0.4407164803622033,7,78.0
155.0,5,12.0,0.35294117647058826,8.089830630970882,5,63.0,0.4041774216732469,5,63.0
160.0,6,34.0,0.8947368421052632,9.437719243290118,6,73.0,0.528338950066999,6,73.0
165.0,8,66.0,1.736842105263158,9.107871945957337,7,101.0,0.4767752773211511,7,101.0
170.0,10,110.0,2.972972972972973,8.622316434708084,9,142.0,0.44006595648640084,9,142.0
175.0,3,44.0,1.1578947368421053,9.610474860432737,3,87.0,0.6214500038091186,3,87.0
180.0,6,12.0,0.3333333333333333,10.053812165870797,5,96.0,0.6228017835428847,5,96.0
185.0,4,12.0,0.3333333333333333,9.70397257980691,4,111.0,0.5606629456221555,4,111.0
190.0,9,35.0,1.0294117647058822,7.836113780456435,8,137.0,0.387455084096287,8,137.0
195.0,12,82.0,2.342857142857143,7.795099537292305,12,189.0,0.3442509795461904,12,189.0
200.0,6,44.0,1.2941176470588236,7.554368038877437,6,142.0,0.4269872260878274,6,142.0
205.0,5,19.0,0.5428571428571428,7.7666542090508965,3,124.0,0.453881756060314,3,124.0
210.0,5,9.0,0.24324324324324326,7.6752071926042555,5,135.0,0.373393318716357,5,135.0
215.0,12,44.0,1.1282051282051282,7.878303984562258,11,175.0,0.2932478314717184,11,175.0
220.0,7,33.0,0.868421052631579,7.778034845297089,7,121.0,0.3948210725054889,7,121.0
225.0,5,20.0,0.5128205128205128,8.185825709655726,4,96.0,0.42252038909336187,4,96.0
