step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.918750746097198,0,0.0,0.9555723146950216,0,0.0
10.0,0,0.0,0.0,10.864373510056394,0,0.0,0.9116934770532685,0,0.0
15.0,0,0.0,0.0,12.137799004379119,0,0.0,0.9233971961941647,0,0.0
20.0,0,0.0,0.0,10.648701355012493,0,0.0,0.8310963488999805,0,0.0
25.0,1,5.0,0.29411764705882354,9.89702142308459,1,5.0,0.7288228143759986,1,5.0
30.0,2,3.0,0.15,9.003786947309758,2,5.0,0.6035701653477473,2,5.0
35.0,4,19.0,0.8636363636363636,9.370609090125233,4,19.0,0.6006805062153938,4,19.0
40.0,1,4.0,0.15384615384615385,10.361896170360906,1,6.0,0.7746169841346136,1,6.0
45.0,2,10.0,0.37037037037037035,9.971433839526187,2,10.0,0.6091617454513318,2,10.0
50.0,0,0.0,0.0,9.654499701646525,0,5.0,0.6498209803963532,0,5.0
55.0,4,16.0,0.5517241379310345,9.088447022586736,3,12.0,0.5255294050597049,3,12.0
60.0,4,12.0,0.3870967741935484,9.311361839502018,4,22.0,0.4926404799134119,4,22.0
65.0,3,18.0,0.6,10.06402305462513,3,24.0,0.5796992972037138,3,24.0
70.0,3,4.0,0.13333333333333333,9.574028653644458,3,15.0,0.5354518411934928,3,15.0
75.0,5,27.0,0.84375,9.63434049939811,5,33.0,0.4959339124182645,5,33.0
80.0,1,3.0,0.10344827586206896,9.59514596499604,1,26.0,0.6202991093066724,1,26.0
85.0,1,1.0,0.03225806451612903,11.207751124209967,1,1.0,0.8230729455163158,1,1.0
90.0,3,3.0,0.10344827586206896,10.574310854216876,3,3.0,0.7141270493923279,3,3.0
95.0,4,19.0,0.59375,10.406181294665771,4,19.0,0.6406959483306691,4,19.0
100.0,0,0.0,0.0,10.942791945017108,0,6.0,0.786854515975475,0,6.0
105.0,3,9.0,0.3103448275862069,10.430007547825296,2,10.0,0.7786713783663368,2,10.0
110.0,1,1.0,0.034482758620689655,10.44216461823156,1,13.0,0.7271157937991038,1,13.0
115.0,5,16.0,0.5161290322580645,9.881318704347507,5,26.0,0.5833743175787519,5,26.0
120.0,2,3.0,0.09375,8.959219137904398,2,14.0,0.5802791493029976,2,14.0
125.0,5,13.0,0.3939393939393939,9.164105402769511,3,14.0,0.5694973238445876,3,14.0
130.0,3,15.0,0.46875,9.750828910050096,3,21.0,0.678565809723005,3,21.0
135.0,3,10.0,0.3125,9.601959347692262,3,25.0,0.6406490150336115,3,25.0
140.0,3,18.0,0.5454545454545454,10.075722848878108,3,24.0,0.6538537643231779,3,24.0
145.0,3,4.0,0.11428571428571428,9.026080603583933,3,20.0,0.5194367097794935,3,20.0
150.0,5,25.0,0.7575757575757576,8.914496791782001,5,26.0,0.5458253524775104,5,26.0
155.0,10,58.0,1.7058823529411764,7.616726812932522,9,57.0,0.3613422037935015,9,57.0
160.0,3,14.0,0.3888888888888889,8.20793519346649,3,51.0,0.4575880140896267,3,51.0
165.0,4,14.0,0.4,8.257015507776668,4,40.0,0.4772441211779313,4,40.0
170.0,5,15.0,0.42857142857142855,8.763403034389608,5,47.0,0.4767200739140146,5,47.0
175.0,7,34.0,0.918918918918919,8.523650213520321,6,61.0,0.43583373553457216,6,61.0
180.0,2,4.0,0.10810810810810811,8.530960909520793,2,40.0,0.43197771203970053,2,40.0
185.0,5,20.0,0.5555555555555556,8.79880806383457,4,45.0,0.47809344083095295,4,45.0
190.0,3,9.0,0.24324324324324326,9.66654870564486,3,42.0,0.6090203492161985,3,42.0
195.0,5,11.0,0.3142857142857143,9.741194227946673,5,54.0,0.5911200077145783,5,54.0
200.0,5,18.0,0.5142857142857142,9.698750418824105,5,48.0,0.5435470437773139,5,48.0
205.0,5,27.0,0.7714285714285715,8.976615981914431,5,54.0,0.433432785421802,5,54.0
210.0,4,10.0,0.2857142857142857,8.761015929089622,4,43.0,0.4408937803086641,4,43.0
215.0,7,22.0,0.6111111111111112,9.190305119543078,7,57.0,0.4614882705105451,7,57.0
220.0,5,14.0,0.3783783783783784,9.305458002321137,5,52.0,0.44492493184302806,5,52.0
225.0,7,34.0,1.0,8.570244815772133,6,78.0,0.4334467434284116,6,78.0
230.0,6,28.0,0.8235294117647058,8.227061194949204,6,74.0,0.4314544280416817,6,74.0
235.0,6,30.0,0.8333333333333334,9.055916675606296,6,72.0,0.49916465785203196,6,72.0
240.0,6,26.0,0.8125,7.926806297046828,6,68.0,0.45664038678297136,6,68.0
245.0,7,35.0,0.9722222222222222,8.490760583317158,5,84.0,0.5034042208910605,5,84.0
250.0,4,7.0,0.19444444444444445,7.2910687092304425,4,70.0,0.34283741112194765,4,70.0
255.0,10,50.0,1.3157894736842106,8.101833233235174,9,92.0,0.36803861470033894,9,92.0
260.0,5,16.0,0.4444444444444444,8.340141564892622,5,72.0,0.4575437256661513,5,72.0
265.0,3,17.0,0.4473684210526316,9.072442446606738,3,44.0,0.513574331921207,3,44.0
270.0,2,2.0,0.05405405405405406,9.529703455920474,2,33.0,0.5774424109325981,2,33.0
275.0,4,20.0,0.5263157894736842,8.99717022691931,4,44.0,0.49707504012940057,4,44.0
280.0,8,49.0,1.2564102564102564,9.301964036549846,8,73.0,0.4620476983048575,8,73.0
285.0,3,14.0,0.4117647058823529,8.681158115935482,3,51.0,0.5433526806721876,3,51.0
290.0,2,8.0,0.21621621621621623,8.994275375002749,1,35.0,0.564734650111656,1,35.0
295.0,2,4.0,0.10810810810810811,8.740292142212159,2,33.0,0.492449693612176,2,33.0
300.0,12,49.0,1.3611111111111112,7.646990905500461,11,75.0,0.3766199142425934,11,75.0
305.0,9,47.0,1.3055555555555556,6.919505084366634,9,73.0,0.3003885011223161,9,73.0
310.0,6,30.0,0.7894736842105263,9.072951623776234,5,64.0,0.5325726512369627,5,64.0
315.0,7,64.0,1.7297297297297298,9.330817418161173,6,64.0,0.5788323079898904,6,64.0
320.0,5,69.0,1.9166666666666667,9.50693451674169,5,77.0,0.5702009458446333,5,77.0
325.0,6,99.0,2.475,9.532360495231217,6,99.0,0.5540496073458041,6,99.0
330.0,3,13.0,0.325,9.356922405576475,3,54.0,0.5822345493761403,3,54.0
335.0,4,21.0,0.5384615384615384,8.889356088837529,3,27.0,0.5137557854275745,3,27.0
340.0,5,12.0,0.3333333333333333,8.222491924002135,5,28.0,0.4254850756764724,5,28.0
345.0,9,46.0,1.2105263157894737,8.845688822817113,8,53.0,0.4737929783149276,8,53.0
350.0,3,12.0,0.32432432432432434,9.54619601700325,3,33.0,0.6218908121801198,3,33.0
355.0,4,22.0,0.5945945945945946,9.538553653120113,4,23.0,0.5273626792799331,4,23.0
360.0,7,55.0,1.4864864864864864,9.445437147239648,7,56.0,0.45513139664421687,7,56.0
365.0,10,100.0,2.9411764705882355,8.381805376551332,10,101.0,0.36719496378786404,10,101.0
370.0,12,159.0,4.416666666666667,7.739242346317994,12,160.0,0.39006426375318676,12,160.0
375.0,15,228.0,6.162162162162162,6.762577004070919,15,229.0,0.3135270680884881,15,229.0
380.0,10,108.0,3.0,5.811872103016146,10,189.0,0.28992100030576307,10,189.0
385.0,4,18.0,0.5142857142857142,7.681365473493703,3,120.0,0.45877215622781387,3,120.0
390.0,5,9.0,0.23684210526315788,7.046357571816322,5,132.0,0.3185198186911119,5,132.0
395.0,11,45.0,1.1538461538461537,7.465460454880958,11,161.0,0.3295139825497,11,161.0
400.0,10,39.0,0.9285714285714286,7.731282686891092,10,123.0,0.33738677385051935,10,123.0
405.0,6,29.0,0.6744186046511628,8.251921017891178,5,74.0,0.35353444736734707,5,74.0
