step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.70600493878856,0,0.0,0.9855075269871677,0,0.0
10.0,0,0.0,0.0,13.405777063394877,0,0.0,0.9499646124169191,0,0.0
15.0,1,2.0,0.2,9.47763212593471,1,2.0,0.6742672012422349,1,2.0
20.0,0,0.0,0.0,7.646829328800407,0,1.0,0.6187487193902182,0,1.0
25.0,1,3.0,0.1875,9.535656483111712,1,3.0,0.6047396443476751,1,3.0
30.0,2,4.0,0.2,10.204561956850984,2,7.0,0.6774553955065525,2,7.0
35.0,3,12.0,0.5217391304347826,10.483865809661932,3,12.0,0.6880981819260849,3,12.0
40.0,0,0.0,0.0,10.648048338572718,0,1.0,0.7213514248089058,0,1.0
45.0,1,3.0,0.1111111111111111,9.999382493252327,1,3.0,0.5916140412015007,1,3.0
50.0,1,3.0,0.1111111111111111,11.48657059716328,1,3.0,0.8529635374505395,1,3.0
55.0,2,9.0,0.32142857142857145,11.709539084123566,2,9.0,0.7687054147368688,2,9.0
60.0,0,0.0,0.0,11.105780779459675,0,5.0,0.7083174418076011,0,5.0
65.0,1,5.0,0.17857142857142858,10.479050716802245,1,10.0,0.6046417011639407,1,10.0
70.0,3,7.0,0.25,9.776202269279805,3,12.0,0.5741343452767967,3,12.0
75.0,5,30.0,1.1111111111111112,10.082016867780977,5,35.0,0.5885479533876097,5,35.0
80.0,1,8.0,0.2962962962962963,10.551110751761632,1,19.0,0.7786281896602618,1,19.0
85.0,1,1.0,0.034482758620689655,11.30177074499237,0,8.0,0.8741457501935442,0,8.0
90.0,2,4.0,0.14285714285714285,10.356283127916162,2,12.0,0.6562211089651093,2,12.0
95.0,5,23.0,0.7931034482758621,9.93005930454798,5,31.0,0.5431820870237961,5,31.0
100.0,3,16.0,0.5333333333333333,8.928031772458057,3,30.0,0.4997960106767161,3,30.0
105.0,5,16.0,0.5517241379310345,9.192547620018377,4,36.0,0.5477280486679753,4,36.0
110.0,8,33.0,1.1,8.205275187558684,7,51.0,0.39249836293029494,7,51.0
115.0,7,14.0,0.42424242424242425,8.179172779585267,7,57.0,0.3836351163726522,7,57.0
120.0,7,41.0,1.2424242424242424,8.906666781213405,7,72.0,0.4284219135400824,7,72.0
125.0,3,12.0,0.35294117647058826,8.19773529682758,3,46.0,0.38595905488323584,3,46.0
130.0,8,25.0,0.7352941176470589,8.173337304224379,7,64.0,0.3797484484515077,7,64.0
135.0,5,20.0,0.5555555555555556,8.846355376178487,5,77.0,0.46689377827227896,5,77.0
140.0,6,32.0,0.9411764705882353,9.801539408628896,6,86.0,0.5366663525673929,6,86.0
145.0,3,17.0,0.4857142857142857,9.72277874517296,3,57.0,0.5897813533285859,3,57.0
150.0,5,15.0,0.4411764705882353,9.273745230684112,4,68.0,0.4966950025585024,4,68.0
155.0,3,7.0,0.2,8.93597834108433,3,66.0,0.5097289406223269,3,66.0
160.0,7,36.0,1.0588235294117647,8.879661082319569,7,90.0,0.5387998473336161,7,90.0
165.0,4,20.0,0.5882352941176471,9.328440231581956,4,60.0,0.5610234252214333,4,60.0
170.0,3,9.0,0.2571428571428571,10.127108572560301,3,12.0,0.6671031718458323,3,12.0
175.0,2,2.0,0.05263157894736842,10.722086447249977,2,11.0,0.7045292767991327,2,11.0
180.0,6,22.0,0.5945945945945946,9.83140219323828,5,27.0,0.5631685433210935,5,27.0
185.0,0,0.0,0.0,8.434009782304464,0,13.0,0.3870613154466968,0,13.0
190.0,9,30.0,0.8823529411764706,8.6275013169419,7,34.0,0.4788291300673274,7,34.0
195.0,3,10.0,0.29411764705882354,9.23253687331714,3,20.0,0.5881318361893334,3,20.0
200.0,6,25.0,0.7142857142857143,9.35176050971479,6,41.0,0.4753076628271911,6,41.0
205.0,3,6.0,0.16666666666666666,9.026259901501529,3,36.0,0.4804047387112189,3,36.0
210.0,6,23.0,0.6764705882352942,9.196382587526205,5,45.0,0.5229880577991055,5,45.0
215.0,3,16.0,0.45714285714285713,9.752376663584219,3,40.0,0.5464079215686442,3,40.0
220.0,6,30.0,0.8823529411764706,9.415635874306039,5,61.0,0.5063960988830574,5,61.0
225.0,2,3.0,0.08823529411764706,9.487048010754975,2,54.0,0.5809097647581746,2,54.0
230.0,8,26.0,0.7878787878787878,8.620160236399354,8,58.0,0.4672858634478445,8,58.0
235.0,2,8.0,0.22857142857142856,9.20043449011205,2,39.0,0.5498975208251197,2,39.0
240.0,5,20.0,0.5882352941176471,9.378787715662657,4,44.0,0.559379604792452,4,44.0
245.0,1,2.0,0.05714285714285714,8.986671798955948,1,39.0,0.5169915250003376,1,39.0
250.0,8,26.0,0.7027027027027027,9.36893529992415,8,63.0,0.4723296724875893,8,63.0
255.0,4,18.0,0.5,9.60421230498135,4,44.0,0.5427141554683911,4,44.0
260.0,4,17.0,0.4857142857142857,8.781143083804807,4,39.0,0.4392521844551787,4,39.0
265.0,2,6.0,0.17142857142857143,9.438103584827893,2,40.0,0.5004774698359296,2,40.0
270.0,5,20.0,0.5882352941176471,9.599105022370946,4,45.0,0.5044916180715097,4,45.0
275.0,2,6.0,0.17647058823529413,9.744200827397552,2,37.0,0.5414992616134657,2,37.0
280.0,4,19.0,0.5277777777777778,9.691824666466923,4,39.0,0.5343724219932817,4,39.0
285.0,3,13.0,0.3939393939393939,9.841851272038145,3,34.0,0.5837952120168034,3,34.0
290.0,5,24.0,0.7058823529411765,9.73958494276256,5,29.0,0.5504808244196676,5,29.0
295.0,2,11.0,0.34375,9.502450878158434,2,22.0,0.5838585831876106,2,22.0
300.0,2,9.0,0.2727272727272727,10.547692951906248,1,5.0,0.7428650994241165,1,5.0
305.0,5,25.0,0.7352941176470589,9.620912107819104,4,16.0,0.5317903380476535,4,16.0
310.0,5,34.0,1.0303030303030303,9.104034573951623,5,37.0,0.4587530387020319,5,37.0
315.0,4,9.0,0.2647058823529412,8.22820224435866,4,21.0,0.35291108538347987,4,21.0
320.0,4,23.0,0.6764705882352942,9.217691279333016,4,30.0,0.462953843999097,4,30.0
325.0,5,13.0,0.38235294117647056,9.522926297655816,5,26.0,0.5118696610518865,5,26.0
330.0,4,25.0,0.78125,9.00959716605918,4,33.0,0.4621476504866031,4,33.0
335.0,1,6.0,0.17647058823529413,9.150406027175363,1,25.0,0.4575665265066831,1,25.0
340.0,8,24.0,0.7058823529411765,9.023042113330373,7,34.0,0.42222693662921046,7,34.0
345.0,3,5.0,0.16129032258064516,8.926548241954782,3,37.0,0.5129504673317961,3,37.0
350.0,6,29.0,0.8787878787878788,8.60586992908806,4,34.0,0.439788529882987,4,34.0
355.0,2,7.0,0.21875,8.75335080252144,2,16.0,0.5022567164566786,2,16.0
360.0,5,27.0,0.9,9.632494248060256,5,31.0,0.5319598800123004,5,31.0
365.0,1,8.0,0.24242424242424243,10.156098861002887,1,21.0,0.6205968871954949,1,21.0
370.0,2,7.0,0.2,11.044144213139669,1,20.0,0.7764651367981895,1,20.0
375.0,4,25.0,0.7352941176470589,10.51955654272983,3,33.0,0.6650941267935325,3,33.0
