step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.090561465839892,0,0.0,0.9672258564234699,0,0.0
10.0,0,0.0,0.0,13.585262616898635,0,0.0,0.9372717330359206,0,0.0
15.0,0,0.0,0.0,10.638573785105297,0,0.0,0.7987810897798053,0,0.0
20.0,2,7.0,0.5384615384615384,11.118093076542694,2,7.0,0.7722920495549263,2,7.0
25.0,3,4.0,0.23529411764705882,8.485419199216512,3,10.0,0.6376919092345821,3,10.0
30.0,5,18.0,0.9473684210526315,7.661494263924954,5,18.0,0.4941300245327081,5,18.0
35.0,2,5.0,0.21739130434782608,8.555992345579995,2,16.0,0.5519065107546541,2,16.0
40.0,0,0.0,0.0,10.540489406223513,0,6.0,0.6645901894014955,0,6.0
45.0,4,13.0,0.4642857142857143,10.189010169386261,4,14.0,0.5590133849130176,4,14.0
50.0,1,2.0,0.06666666666666667,9.996219677127227,1,8.0,0.5612263211903122,1,8.0
55.0,4,21.0,0.6176470588235294,10.662765680329096,3,18.0,0.5601811978536876,3,18.0
60.0,6,50.0,1.6666666666666667,10.116634250890003,5,37.0,0.5453174671151514,5,37.0
65.0,2,6.0,0.2,9.095040021196018,2,28.0,0.4690503813960886,2,28.0
70.0,2,7.0,0.25,9.308062812298289,2,9.0,0.5887337032701468,2,9.0
75.0,1,1.0,0.034482758620689655,10.288603986224153,1,3.0,0.600556735809829,1,3.0
80.0,4,15.0,0.5172413793103449,10.056194981778152,4,17.0,0.5786768394137171,4,17.0
85.0,0,0.0,0.0,11.008779653190107,0,9.0,0.7707168759247262,0,9.0
90.0,2,5.0,0.15625,11.061736396201503,1,10.0,0.7036052708590416,1,10.0
95.0,2,3.0,0.1,10.705082144347363,2,5.0,0.6378616780203489,2,5.0
