step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.21849763740456,0,0.0,0.964749917480336,0,0.0
10.0,0,0.0,0.0,11.863716903464292,0,0.0,0.8858371212709015,0,0.0
15.0,0,0.0,0.0,11.546316197399198,0,0.0,0.8865193976759065,0,0.0
20.0,1,3.0,0.23076923076923078,11.739356171194844,1,3.0,0.7923606332916766,1,3.0
25.0,2,11.0,0.6470588235294118,9.932875177676134,2,11.0,0.6599172571471306,2,11.0
30.0,2,3.0,0.15,9.6731339270452,2,7.0,0.6032884131792984,2,7.0
35.0,6,22.0,0.9565217391304348,8.193054109826187,5,18.0,0.42629803481131634,5,18.0
40.0,2,8.0,0.3333333333333333,8.944492481894619,2,22.0,0.5619096091725941,2,22.0
45.0,2,11.0,0.4230769230769231,10.250931891304038,2,15.0,0.6738979917363549,2,15.0
50.0,2,2.0,0.07407407407407407,10.198088405420936,2,5.0,0.6655718408686688,2,5.0
55.0,4,15.0,0.4838709677419355,10.638791470528176,3,14.0,0.6759535491952947,3,14.0
60.0,0,0.0,0.0,10.739646003965282,0,6.0,0.7582143876782272,0,6.0
65.0,1,1.0,0.03571428571428571,10.511409115153091,1,1.0,0.7256331389826944,1,1.0
70.0,1,1.0,0.034482758620689655,10.642576618791997,1,1.0,0.7239179681891523,1,1.0
75.0,2,9.0,0.3103448275862069,10.544676617746756,2,9.0,0.6182107997354558,2,9.0
80.0,0,0.0,0.0,10.567586824563266,0,7.0,0.6840713024364398,0,7.0
85.0,1,3.0,0.0967741935483871,10.828099082427412,1,3.0,0.6598649432856429,1,3.0
90.0,2,5.0,0.17857142857142858,10.328462722862907,2,6.0,0.6620111849841426,2,6.0
95.0,5,23.0,0.8518518518518519,9.09968486526523,4,18.0,0.46282872482062953,4,18.0
100.0,1,4.0,0.13793103448275862,8.951105405142554,1,13.0,0.5566735356656958,1,13.0
105.0,6,12.0,0.41379310344827586,8.979038140943427,4,16.0,0.5046052573577385,4,16.0
110.0,2,4.0,0.13333333333333333,9.351880654038757,2,19.0,0.5169497747337141,2,19.0
115.0,7,32.0,1.0,9.537087683939255,7,47.0,0.43143887428128286,7,47.0
120.0,3,18.0,0.5806451612903226,9.437996401381476,3,42.0,0.5452952295501348,3,42.0
125.0,2,2.0,0.06666666666666667,10.075218727690475,2,35.0,0.6177724222208328,2,35.0
130.0,6,21.0,0.7241379310344828,8.69705216730557,5,36.0,0.4976338789506394,5,36.0
135.0,6,37.0,1.2333333333333334,8.76835746447578,6,58.0,0.4730024265860323,6,58.0
140.0,4,13.0,0.40625,8.109182653525899,4,51.0,0.37918471849842533,4,51.0
145.0,7,40.0,1.1764705882352942,8.996975593067669,7,77.0,0.43297756201587956,7,77.0
150.0,4,27.0,0.7941176470588235,9.215508225931458,4,62.0,0.4506928344132612,4,62.0
155.0,4,21.0,0.6363636363636364,9.327316075035824,4,53.0,0.4530456177253659,4,53.0
160.0,3,18.0,0.5454545454545454,9.401940188379584,3,59.0,0.4928640907766376,3,59.0
165.0,3,15.0,0.45454545454545453,11.162781385384234,3,53.0,0.7188056314753049,3,53.0
170.0,3,12.0,0.375,9.644310970238788,3,39.0,0.4933389640496458,3,39.0
175.0,6,26.0,0.8125,9.607364817791654,5,38.0,0.4320851768114439,5,38.0
180.0,3,6.0,0.18181818181818182,9.953702291232378,3,25.0,0.5511656014629515,3,25.0
185.0,3,19.0,0.6333333333333333,10.221348374227818,3,39.0,0.6163749730263506,3,39.0
190.0,2,7.0,0.22580645161290322,10.833006930841162,2,17.0,0.7321605919559178,2,17.0
195.0,4,26.0,0.8666666666666667,9.955054834204615,3,32.0,0.6606911871939245,3,32.0
200.0,2,11.0,0.36666666666666664,10.067644041109265,2,24.0,0.640312738102302,2,24.0
205.0,6,18.0,0.5806451612903226,9.54283299130344,5,38.0,0.5733135537920903,5,38.0
210.0,2,2.0,0.06451612903225806,9.469157899309536,2,41.0,0.635230219773436,2,41.0
